id,title,price,address,url,property_type,modifiedAt,active,lat,lng
92,Aluguel de quarto na Torre,R$ 750,"Rua Real da Torre, Torre, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluguel-de-quarto-na-torre-1343585739,Aluguel de quartos,19/11/2024 22:03:04,True,-28.220271,-48.707366
93,Kitnet cidade universitária ,R$ 950,"Rua General Polidoro, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitnet-cidade-universitaria-1343072656,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0373588,-34.9456277
94,aluga se apartamento na várzea ,R$ 700,"Rua Francisco Correia de Araújo, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluga-se-apartamento-na-varzea-1342912612,Apartamentos,19/11/2024 22:03:04,True,-8.0422408,-34.9461573
95,"FLAT ao lado da UFPE *R$  870,00 * Em frente ao DEPT de FARMÁCIA UFPE",R$ 870,"Recife, Cidade Universitária",https://pe.olx.com.br/grande-recife/imoveis/flat-ao-lado-da-ufpe-r-870-00-em-frente-ao-dept-de-farmacia-ufpe-1076243263,Aluguel de quartos,19/11/2024 22:03:04,True,-8.055802,-34.921399
96,"Ap 1 quarto na ur7, 1? andar, sem garagem",R$ 650,"Rua Caaporã, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/ap-1-quarto-na-ur7-1-andar-sem-garagem-1342573375,Apartamentos,19/11/2024 22:03:04,True,-8.0374839,-34.9770384
97,Alugasse quarto um vão só,R$ 400,"Rua Hugo Napoleão, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugasse-quarto-um-vao-so-1342296773,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0382038,-34.9630518
98,Casa em Condomínio Fechado com Piscina e Área Gourmet,R$ 650,"Rua Amarati, Torre, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-em-condominio-fechado-com-piscina-e-area-gourmet-1341920998,Casas,19/11/2024 22:03:04,True,-8.0428561,-34.9118451
99,Vagas em apartamento na Torre para mulheres,R$ 950,"Recife, Torre",https://pe.olx.com.br/grande-recife/imoveis/vagas-em-apartamento-na-torre-para-mulheres-1341138742,Aluguel de quartos,19/11/2024 22:03:04,True,-8.055802,-34.921399
100,Alugo casa em itamaracá ,R$ 950,"Avenida Múcio Uchôa Cavalcanti, Engenho do Meio, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-casa-em-itamaraca-1341048336,Casas,19/11/2024 22:03:04,True,-8.049707,-34.941857
101,Ponto pra alugar ,R$ 400,"Rua Barão da Soledade, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/ponto-pra-alugar-1340790521,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0368711,-34.9288973
102,Imóvel para aluguel c/51 M² com 2 quartos em Várzea - Recife - PE,R$ 800,"Rua Gastão Vidigal, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/imovel-para-aluguel-c-51-m-com-2-quartos-em-varzea-recife-pe-1340495022,Apartamentos,19/11/2024 22:03:04,True,-8.0321643,-34.9592364
